건물번호,건물유형,연면적(m2),냉방면적(m2),태양광용량(kW),ESS저장용량(kWh),PCS용량(kW)
1,건물기타,110634.0,39570.0,-,-,-
2,건물기타,122233.47,99000.0,-,-,-
3,건물기타,171243.0,113950.0,40,-,-
4,건물기타,74312.98,34419.62,60,-,-
5,건물기타,205884.0,150000.0,-,2557,1000
6,건물기타,205754.0,74565.0,-,-,-
7,건물기타,101711.52,41341.1,-,800,300
8,건물기타,75344.54,24117.0,-,-,-
9,건물기타,222882.35,15651.18,-,-,-
10,건물기타,31062.0,18637.0,-,-,-
11,건물기타,45956.56,13190.98,447.2,-,-
12,건물기타,70163.1,3598.21,130.6,-,-
13,건물기타,5578.4,3500.0,-,-,-
14,건물기타,16844.16,14102.92,56,-,-
15,건물기타,167012.31,167012.31,-,-,-
16,공공,240038.0,95175.0,20,-,-
17,공공,66467.0,46896.0,-,-,-
18,공공,75624.56,39915.1,64.8,-,-
19,공공,90730.4,90730.0,-,1362,500
20,공공,12872877.0,10941945.0,-,-,-
21,공공,61469.67,43970.64,70,837.1,500
22,공공,61375.47,19800.0,110,-,-
23,공공,32236.11,16565.0,-,-,-
24,대학교,659696.91,516097.85,97.65,-,-
25,대학교,528014.05,369812.24,50,-,-
26,대학교,386466.9,162020.0,26.64,-,-
27,대학교,578484.113,501381.53,30,-,-
28,대학교,249494.0,130520.0,50,-,-
29,대학교,199623.0,77202.0,25,-,-
30,대학교,155785.0,106305.0,20,-,-
31,대학교,201781.0,119836.0,83.72,-,-
32,데이터센터,35300.0,14687.0,-,-,-
33,데이터센터,28059.0,20397.0,-,-,-
34,데이터센터,10665.0,9402.0,-,-,-
35,데이터센터,9736.0,6070.0,-,-,-
36,데이터센터,8816.49,8816.49,-,-,-
37,백화점및아울렛,98528.77,75517.52,35,-,-
38,백화점및아울렛,58763.89,35136.56,-,-,-
39,백화점및아울렛,126835.0,65596.0,-,-,-
40,백화점및아울렛,58483.0,40775.0,-,-,-
41,백화점및아울렛,161950.4,60579.45,-,-,-
42,백화점및아울렛,97915.1,72000.0,-,-,-
43,백화점및아울렛,148883.85,35633.2,-,-,-
44,백화점및아울렛,78116.83,76458.32,-,-,-
45,병원,86787.03,70579.0,-,-,-
46,병원,85869.49,78675.0,100.56,-,-
47,병원,191624.0,163255.0,-,-,-
48,병원,66729.0,50000.0,200,-,-
49,병원,112953.61,70301.0,46.2,-,-
50,병원,91967.0,75836.0,3,-,-
51,병원,88242.76,80566.0,-,-,-
52,병원,91634.21,69227.19,25,-,-
53,상용,149246.0,110759.0,-,-,-
54,상용,109400.2,65803.57,-,-,-
55,상용,25341.87,13040.1,-,-,-
56,상용,42666.54,7259.1,-,-,-
57,상용,105473.46,55586.72,200,-,-
58,상용,14897.0,7071.92,9.45,-,-
59,상용,105500.72,84402.0,-,-,-
60,상용,188902.07,142187.28,365,-,-
61,아파트,667131.0,539213.0,-,-,-
62,아파트,233187.0,178666.0,-,-,-
63,아파트,187737.0,158300.0,-,-,-
64,아파트,240551.0,198767.0,-,-,-
65,아파트,183839.0,0.0,-,-,-
66,아파트,105073.0,0.0,-,-,-
67,아파트,85244.0,59671.0,-,-,-
68,아파트,389395.928,0.0,-,-,-
69,연구소,139928.73,111183.19,14.4,-,-
70,연구소,141014.0,120000.0,28.44,-,-
71,연구소,90896.0,44536.0,65,3100,800
72,연구소,31503.0,12667.0,95,-,-
73,연구소,109894.22,87915.2,60.45,-,-
74,연구소,253743.0,142705.0,621,-,-
75,연구소,88898.41,51561.08,-,-,-
76,연구소,38668.17,38452.11,100,-,-
77,지식산업센터,67377.14,1.0,-,-,-
78,지식산업센터,136921.0,71771.0,-,-,-
79,지식산업센터,212995.84,103115.37,-,-,-
80,지식산업센터,256370.24,239.0,-,-,-
81,지식산업센터,115358.28,65020.94,-,-,-
82,지식산업센터,225651.0,114772.0,-,-,-
83,지식산업센터,199116.93,99603.87,-,-,-
84,지식산업센터,174408.2,109973.1,-,-,-
85,할인마트,71591.0,35000.0,-,-,-
86,할인마트,54866.51,30953.0,97.85,-,-
87,할인마트,65118.0,34007.0,-,-,-
88,할인마트,48452.52,30309.69,-,-,-
89,할인마트,78454.0,13362.0,-,-,-
90,할인마트,77917.0,35676.0,-,-,-
91,할인마트,63865.0,49258.0,-,-,-
92,할인마트,80491.0,18549.5,98.28,-,-
93,호텔및리조트,34845.18,31124.0,21.6,-,-
94,호텔및리조트,62156.0,56060.0,-,-,-
95,호텔및리조트,196992.54,57022.55,-,-,-
96,호텔및리조트,93314.0,60500.0,-,-,-
97,호텔및리조트,55144.67,25880.0,-,-,-
98,호텔및리조트,53578.62,17373.75,-,-,-
99,호텔및리조트,53499.0,40636.0,-,-,-
100,호텔및리조트,57497.84,40035.23,-,-,-
